hcp_id,hcp_name,specialty,hcp_tier,territory_id,city,state,affiliated_hospital,years_practicing,patient_volume,preferred_channel,email_opt_in
HCP0026,Dr. Noah Lanka,Pulmonologist,Tier 2,T002,Mumbai,Maharashtra,"Sampath, Kakar and Zacharia Hospital",23,101,Email,True
HCP0027,Dr. Devika Rastogi,Cardiologist,Tier 1,T003,Nashik,Maharashtra,"Prakash, Sarma and Varughese Hospital",5,314,In-person,True
HCP0028,Dr. Jai Kota,Gastroenterologist,Tier 1,T004,Nagpur,Maharashtra,Bhatt LLC Hospital,17,365,Webinar,True
HCP0029,Dr. Victor Kannan,Dermatologist,Tier 1,T005,Delhi,Delhi,Bobal Ltd Hospital,32,328,Webinar,False
HCP0030,Dr. Veer Bir,Pulmonologist,Tier 1,T006,Gurgaon,Haryana,Narayanan Inc Hospital,29,442,Webinar,False
HCP0031,Dr. Arya Sunder,Oncologist,Tier 3,T007,Bengaluru,Karnataka,Zacharia and Sons Hospital,5,769,In-person,True
HCP0032,Dr. Xavier Solanki,Neurologist,Tier 3,T008,Hyderabad,Telangana,Gupta-Chandra Hospital,8,334,Email,True
HCP0033,Dr. Raagini Pandya,Dermatologist,Tier 2,T009,Chennai,Tamil Nadu,Roy-Sibal Hospital,29,267,Phone,False
HCP0034,Dr. Guneet Bhat,Pulmonologist,Tier 3,T010,Kolkata,West Bengal,Nori-Chopra Hospital,6,533,In-person,True
HCP0035,Dr. Rehaan Gupta,Dermatologist,Tier 3,T011,Ahmedabad,Gujarat,"Sen, Dey and Sami Hospital",7,851,Email,True
HCP0036,Dr. Arya Shere,Neurologist,Tier 2,T012,Jaipur,Rajasthan,Borra Group Hospital,15,490,In-person,True
HCP0037,Dr. Chandresh Zachariah,Neurologist,Tier 1,T001,Pune,Maharashtra,Chander and Sons Hospital,26,351,Webinar,False
HCP0038,Dr. Niharika Sunder,Neurologist,Tier 3,T002,Mumbai,Maharashtra,Kala-Rattan Hospital,33,238,Email,False
HCP0039,Dr. Nitesh Raghavan,Pulmonologist,Tier 3,T003,Nashik,Maharashtra,Ramakrishnan LLC Hospital,5,845,Phone,True
HCP0040,Dr. Bhavika Sampath,Cardiologist,Tier 3,T004,Nagpur,Maharashtra,"Sur, Dubey and Gupta Hospital",34,623,Email,True
HCP0041,Dr. Teerth Bhardwaj,Dermatologist,Tier 1,T005,Delhi,Delhi,"Bhat, Murthy and Bhandari Hospital",13,150,In-person,True
HCP0042,Dr. Vansha Thakkar,Neurologist,Tier 1,T006,Gurgaon,Haryana,"Dugar, Bhandari and Trivedi Hospital",17,672,In-person,True
HCP0043,Dr. Quincy Biswas,Neurologist,Tier 3,T007,Bengaluru,Karnataka,"Bir, Keer and Raval Hospital",35,403,Phone,True
HCP0044,Dr. Yatin Baral,Gastroenterologist,Tier 2,T008,Hyderabad,Telangana,"Bumb, Saini and Virk Hospital",27,214,Phone,False
HCP0045,Dr. Advika Jayaraman,Gastroenterologist,Tier 3,T009,Chennai,Tamil Nadu,"Murthy, Khare and Lanka Hospital",6,89,Webinar,True
HCP0046,Dr. Karan Mital,Diabetologist,Tier 2,T010,Kolkata,West Bengal,Mutti-Bora Hospital,34,351,Email,False
HCP0047,Dr. Tara Chaudhry,Diabetologist,Tier 3,T011,Ahmedabad,Gujarat,Yogi and Sons Hospital,25,371,Email,False
HCP0048,Dr. Kevin Palla,Dermatologist,Tier 3,T012,Jaipur,Rajasthan,Konda LLC Hospital,35,88,Phone,True
HCP0049,Dr. Nakul Sarma,Endocrinologist,Tier 2,T001,Pune,Maharashtra,"Mittal, Wadhwa and Anand Hospital",8,840,Email,False
HCP0050,Dr. Hemang Desai,General Physician,Tier 3,T002,Mumbai,Maharashtra,D’Alia-Chhabra Hospital,23,288,Phone,False
HCP0051,Dr. Anita Manda,General Physician,Tier 3,T003,Nashik,Maharashtra,"Kade, Oza and Jani Hospital",5,174,Webinar,False
HCP0052,Dr. Yashasvi Suresh,Cardiologist,Tier 1,T004,Nagpur,Maharashtra,Behl-Chanda Hospital,10,732,Phone,True
HCP0053,Dr. Aradhana Basu,Oncologist,Tier 3,T005,Delhi,Delhi,Nath and Sons Hospital,29,654,In-person,True
HCP0054,Dr. Neel Sathe,Diabetologist,Tier 3,T006,Gurgaon,Haryana,"Sane, Andra and Choudhury Hospital",11,638,In-person,False
HCP0055,Dr. Manthan Banik,Orthopedic Surgeon,Tier 3,T007,Bengaluru,Karnataka,Divan-Sani Hospital,29,210,In-person,False
HCP0056,Dr. Benjamin Morar,Gastroenterologist,Tier 3,T008,Hyderabad,Telangana,Baral-Parmar Hospital,4,446,Email,True
HCP0057,Dr. Zaid Chauhan,Diabetologist,Tier 2,T009,Chennai,Tamil Nadu,Ray-Dubey Hospital,28,715,Email,True
HCP0058,Dr. Nicholas Goel,Endocrinologist,Tier 3,T010,Kolkata,West Bengal,Bakshi-Gola Hospital,13,502,In-person,True
HCP0059,Dr. Nisha Kothari,Gastroenterologist,Tier 3,T011,Ahmedabad,Gujarat,Dutta-Chokshi Hospital,28,765,Email,False
HCP0060,Dr. Balvan Singhal,Endocrinologist,Tier 3,T012,Jaipur,Rajasthan,Iyengar Group Hospital,8,471,In-person,False
HCP0061,Dr. Dalaja Kari,Pulmonologist,Tier 1,T001,Pune,Maharashtra,Bajwa Ltd Hospital,31,438,Phone,True
HCP0062,Dr. Mohini Narasimhan,Pulmonologist,Tier 1,T002,Mumbai,Maharashtra,Boase-Mallick Hospital,14,488,Phone,False
HCP0063,Dr. Yashodhara Ratta,Diabetologist,Tier 3,T003,Nashik,Maharashtra,"Yadav, Narula and Bala Hospital",19,439,Webinar,False
HCP0064,Dr. Advika Gokhale,Cardiologist,Tier 1,T004,Nagpur,Maharashtra,"Lanka, Barad and Chopra Hospital",18,262,Phone,True
HCP0065,Dr. Hemani Murthy,Diabetologist,Tier 3,T005,Delhi,Delhi,Vaidya-D’Alia Hospital,24,826,Phone,False
HCP0066,Dr. Ranveer Kumar,Orthopedic Surgeon,Tier 3,T006,Gurgaon,Haryana,Sarin Inc Hospital,9,474,Email,False
HCP0067,Dr. Januja Sankar,Cardiologist,Tier 3,T007,Bengaluru,Karnataka,Narayanan PLC Hospital,2,612,Email,False
HCP0068,Dr. Jeet Mital,Neurologist,Tier 1,T008,Hyderabad,Telangana,"More, Rege and Narain Hospital",23,718,Phone,True
HCP0069,Dr. Chakrika Datta,General Physician,Tier 2,T009,Chennai,Tamil Nadu,Salvi Ltd Hospital,28,414,Webinar,False
HCP0070,Dr. Owen Mitra,Dermatologist,Tier 1,T010,Kolkata,West Bengal,Acharya-Modi Hospital,28,760,Webinar,True
HCP0071,Dr. Shivansh Sani,Orthopedic Surgeon,Tier 3,T011,Ahmedabad,Gujarat,"Nagy, Shroff and Sathe Hospital",27,641,In-person,False
HCP0072,Dr. Tanay Vaidya,General Physician,Tier 2,T012,Jaipur,Rajasthan,Gara-Chad Hospital,22,556,Webinar,False
HCP0073,Dr. Yutika Nayak,Pulmonologist,Tier 2,T001,Pune,Maharashtra,Keer Ltd Hospital,12,754,In-person,False
HCP0074,Dr. Umang Issac,Dermatologist,Tier 3,T002,Mumbai,Maharashtra,Bakshi Inc Hospital,23,175,Email,False
HCP0075,Dr. Vaishnavi Bora,Pulmonologist,Tier 3,T003,Nashik,Maharashtra,Sachdeva-Hayer Hospital,11,105,In-person,True
HCP0076,Dr. Warda Ratta,Oncologist,Tier 3,T004,Nagpur,Maharashtra,Divan Ltd Hospital,6,546,Webinar,True
HCP0077,Dr. Hredhaan Sandal,Neurologist,Tier 2,T005,Delhi,Delhi,Goda Ltd Hospital,17,231,In-person,True
HCP0078,Dr. Chandresh Krish,Neurologist,Tier 2,T006,Gurgaon,Haryana,Shan and Sons Hospital,35,555,In-person,True
HCP0079,Dr. Edhitha Savant,Diabetologist,Tier 2,T007,Bengaluru,Karnataka,"Thaman, Sandhu and Sehgal Hospital",31,763,Phone,False
HCP0080,Dr. Vaishnavi Sengupta,Orthopedic Surgeon,Tier 3,T008,Hyderabad,Telangana,Kota-Malhotra Hospital,34,516,Webinar,True
HCP0081,Dr. William Maharaj,Oncologist,Tier 2,T009,Chennai,Tamil Nadu,Brahmbhatt-Mangal Hospital,17,732,Phone,False
HCP0082,Dr. Anita Nayak,Pulmonologist,Tier 2,T010,Kolkata,West Bengal,Zachariah-Buch Hospital,6,810,Phone,True
HCP0083,Dr. Matthew Kashyap,General Physician,Tier 2,T011,Ahmedabad,Gujarat,Dua-Kala Hospital,7,221,Email,True
HCP0084,Dr. Oeshi Reddy,Neurologist,Tier 3,T012,Jaipur,Rajasthan,Shukla-Sagar Hospital,15,145,Webinar,False
HCP0085,Dr. Samuel Salvi,Gastroenterologist,Tier 2,T001,Pune,Maharashtra,Bahri-Rai Hospital,28,143,Email,False
HCP0086,Dr. Abeer Pandey,Neurologist,Tier 3,T002,Mumbai,Maharashtra,Ramakrishnan-Saini Hospital,3,863,Webinar,False
HCP0087,Dr. Vinaya Kanda,Cardiologist,Tier 3,T003,Nashik,Maharashtra,Sarin-Sunder Hospital,21,851,Webinar,False
HCP0088,Dr. Lopa Nayar,Dermatologist,Tier 3,T004,Nagpur,Maharashtra,"Ravel, Gandhi and Sibal Hospital",16,579,Email,False
HCP0089,Dr. Avi Ramesh,Neurologist,Tier 2,T005,Delhi,Delhi,"Bala, Chacko and Sangha Hospital",26,424,Webinar,True
HCP0090,Dr. Triya Gopal,Oncologist,Tier 3,T006,Gurgaon,Haryana,Lad Group Hospital,3,483,In-person,True
HCP0091,Dr. Siddharth Sha,Neurologist,Tier 1,T007,Bengaluru,Karnataka,Nazareth-Raghavan Hospital,31,266,In-person,False
HCP0092,Dr. Oviya Krishnan,Neurologist,Tier 2,T008,Hyderabad,Telangana,Singhal Inc Hospital,31,414,Phone,False
HCP0093,Dr. Inaya Kapur,General Physician,Tier 3,T009,Chennai,Tamil Nadu,"Biswas, Baria and Balasubramanian Hospital",28,338,In-person,False
HCP0094,Dr. Ryan Bahri,Cardiologist,Tier 3,T010,Kolkata,West Bengal,"Dua, Khare and Date Hospital",5,438,Email,True
HCP0095,Dr. Ishwar Kamdar,Cardiologist,Tier 3,T011,Ahmedabad,Gujarat,Kunda-Pillay Hospital,17,284,In-person,True
HCP0096,Dr. Ishwar Gade,Pulmonologist,Tier 1,T012,Jaipur,Rajasthan,Chokshi-Bal Hospital,9,657,Email,False
HCP0097,Dr. Keya Ranganathan,General Physician,Tier 3,T001,Pune,Maharashtra,"Issac, Borra and Kibe Hospital",12,700,In-person,True
HCP0098,Dr. Charvi Dara,General Physician,Tier 1,T002,Mumbai,Maharashtra,"Barman, Palan and Walia Hospital",3,399,Webinar,False
HCP0099,Dr. Kamala Biswas,Pulmonologist,Tier 1,T003,Nashik,Maharashtra,"Om, Arora and Salvi Hospital",17,184,Phone,True
HCP0100,Dr. Hitesh Sant,Orthopedic Surgeon,Tier 3,T004,Nagpur,Maharashtra,Sharaf-Dua Hospital,24,625,Webinar,False
HCP0101,Dr. Patrick Vig,Diabetologist,Tier 2,T005,Delhi,Delhi,"Madan, Yohannan and Sule Hospital",23,92,Webinar,False
HCP0102,Dr. Rajata Loyal,Diabetologist,Tier 2,T006,Gurgaon,Haryana,Korpal-Chadha Hospital,25,730,Webinar,True
HCP0103,Dr. Shravya Kohli,Neurologist,Tier 1,T007,Bengaluru,Karnataka,Raghavan-Nayar Hospital,35,746,Phone,False
HCP0104,Dr. Warda Nair,Oncologist,Tier 2,T008,Hyderabad,Telangana,Sura and Sons Hospital,19,410,Email,True
HCP0105,Dr. Aarna Oak,General Physician,Tier 3,T009,Chennai,Tamil Nadu,Majumdar-Anne Hospital,17,848,Webinar,False
HCP0106,Dr. Frederick Khurana,Gastroenterologist,Tier 1,T010,Kolkata,West Bengal,"Ray, Suresh and Khosla Hospital",22,266,Webinar,True
HCP0107,Dr. Vritti Sem,Gastroenterologist,Tier 3,T011,Ahmedabad,Gujarat,Chander LLC Hospital,23,366,Phone,True
HCP0108,Dr. Nidhi Kohli,Dermatologist,Tier 3,T012,Jaipur,Rajasthan,Pillay-Solanki Hospital,7,327,Webinar,False
HCP0109,Dr. Pavani Narayanan,Dermatologist,Tier 3,T001,Pune,Maharashtra,Setty-Madan Hospital,32,741,Webinar,False
HCP0110,Dr. Zayan Kashyap,Cardiologist,Tier 1,T002,Mumbai,Maharashtra,Hans LLC Hospital,16,494,Email,False
HCP0111,Dr. Qasim Handa,Orthopedic Surgeon,Tier 2,T003,Nashik,Maharashtra,Sule LLC Hospital,35,432,Webinar,False
HCP0112,Dr. Harish Hari,Gastroenterologist,Tier 3,T004,Nagpur,Maharashtra,Karan-Patel Hospital,19,393,Phone,True
HCP0113,Dr. Chasmum Atwal,Diabetologist,Tier 3,T005,Delhi,Delhi,"Walla, Date and Mahal Hospital",22,202,Email,True
HCP0114,Dr. Chatura Master,Pulmonologist,Tier 3,T006,Gurgaon,Haryana,"Date, Swaminathan and Chauhan Hospital",19,821,Phone,True
HCP0115,Dr. Bhavani Singh,Pulmonologist,Tier 2,T007,Bengaluru,Karnataka,Sastry-Oak Hospital,25,263,Phone,True
HCP0116,Dr. Charan Krishnan,Dermatologist,Tier 1,T008,Hyderabad,Telangana,Comar-Bhattacharyya Hospital,4,135,Phone,True
HCP0117,Dr. Vyanjana Borah,Oncologist,Tier 1,T009,Chennai,Tamil Nadu,"Bera, Doshi and Dixit Hospital",2,667,Phone,False
HCP0118,Dr. Frederick Kothari,Oncologist,Tier 2,T010,Kolkata,West Bengal,Saha PLC Hospital,13,132,Phone,False
HCP0119,Dr. Lajita Seshadri,Diabetologist,Tier 3,T011,Ahmedabad,Gujarat,Mishra-Sanghvi Hospital,27,583,In-person,True
HCP0120,Dr. Darpan Chaudhary,Endocrinologist,Tier 1,T012,Jaipur,Rajasthan,Kakar LLC Hospital,21,167,Email,True
HCP0121,Dr. Naksh Khatri,Dermatologist,Tier 3,T001,Pune,Maharashtra,Borde and Sons Hospital,16,874,Webinar,False
HCP0122,Dr. Nilima Seshadri,Oncologist,Tier 2,T002,Mumbai,Maharashtra,"Singhal, Manne and Bali Hospital",29,392,In-person,True
HCP0123,Dr. Bhavya Mandal,Pulmonologist,Tier 3,T003,Nashik,Maharashtra,"Setty, Bobal and Kaur Hospital",18,756,In-person,True
HCP0124,Dr. Rudra Sandal,Pulmonologist,Tier 1,T004,Nagpur,Maharashtra,Kar Ltd Hospital,6,240,In-person,False
HCP0125,Dr. Amaira Dhar,Oncologist,Tier 3,T005,Delhi,Delhi,Bhasin and Sons Hospital,32,378,In-person,True
HCP0126,Dr. Bhavya Sarna,General Physician,Tier 3,T006,Gurgaon,Haryana,Sidhu Ltd Hospital,31,152,Email,False
HCP0127,Dr. Neha Magar,Orthopedic Surgeon,Tier 3,T007,Bengaluru,Karnataka,"Zacharia, Tak and Sarma Hospital",14,515,In-person,True
HCP0128,Dr. Balveer Sankaran,Endocrinologist,Tier 3,T008,Hyderabad,Telangana,"Naidu, Krishna and Bal Hospital",11,153,In-person,True
HCP0129,Dr. Veer Bail,General Physician,Tier 3,T009,Chennai,Tamil Nadu,"Luthra, Baria and Gill Hospital",20,529,In-person,False
HCP0130,Dr. Zilmil Sathe,General Physician,Tier 3,T010,Kolkata,West Bengal,Golla-Sarin Hospital,19,592,Webinar,False
HCP0131,Dr. Gavin Singhal,Diabetologist,Tier 3,T011,Ahmedabad,Gujarat,Rege-Nath Hospital,29,832,Phone,False
HCP0132,Dr. Henry Dyal,Cardiologist,Tier 1,T012,Jaipur,Rajasthan,Sabharwal-Tandon Hospital,3,863,Phone,True
HCP0133,Dr. Nandini Bansal,Endocrinologist,Tier 2,T001,Pune,Maharashtra,Chakrabarti-Murty Hospital,30,364,Email,False
HCP0134,Dr. Ekiya D’Alia,Oncologist,Tier 3,T002,Mumbai,Maharashtra,Varkey-Agarwal Hospital,32,436,Webinar,False
HCP0135,Dr. Odika Bhagat,Gastroenterologist,Tier 3,T003,Nashik,Maharashtra,Vasa LLC Hospital,12,417,Webinar,False
HCP0136,Dr. Riya Behl,General Physician,Tier 3,T004,Nagpur,Maharashtra,Loke PLC Hospital,27,858,In-person,False
HCP0137,Dr. Bhavna Sarma,Diabetologist,Tier 2,T005,Delhi,Delhi,"Sundaram, Dara and Balakrishnan Hospital",22,198,Webinar,True
HCP0138,Dr. Nathan Mukhopadhyay,Dermatologist,Tier 2,T006,Gurgaon,Haryana,"Atwal, Reddy and Chander Hospital",5,272,Phone,False
HCP0139,Dr. Ishaan Shenoy,Oncologist,Tier 3,T007,Bengaluru,Karnataka,Dube Group Hospital,15,353,Email,False
HCP0140,Dr. Yashodhara Mahajan,Oncologist,Tier 3,T008,Hyderabad,Telangana,Subramanian-Sodhi Hospital,33,204,In-person,True
HCP0141,Dr. Tanmayi Dhillon,Endocrinologist,Tier 2,T009,Chennai,Tamil Nadu,Halder-Trivedi Hospital,2,645,Webinar,True
HCP0142,Dr. Ekaraj Majumdar,Pulmonologist,Tier 3,T010,Kolkata,West Bengal,Oak-Tripathi Hospital,9,552,In-person,True
HCP0143,Dr. Aarnav Mandal,Oncologist,Tier 3,T011,Ahmedabad,Gujarat,"Misra, Suri and Dixit Hospital",20,601,Phone,False
HCP0144,Dr. Veda Pai,Oncologist,Tier 3,T012,Jaipur,Rajasthan,Purohit-Shah Hospital,17,547,Email,False
HCP0145,Dr. Ranbir Khare,Pulmonologist,Tier 3,T001,Pune,Maharashtra,"Rajagopal, Kaur and Roy Hospital",34,844,Email,True
HCP0146,Dr. Eesha Solanki,General Physician,Tier 3,T002,Mumbai,Maharashtra,"Raj, Raju and Doshi Hospital",28,428,Phone,True
HCP0147,Dr. Balhaar Date,General Physician,Tier 3,T003,Nashik,Maharashtra,"Narula, Chaudhry and Sarraf Hospital",33,232,Webinar,False
HCP0148,Dr. Tanmayi Aurora,Gastroenterologist,Tier 2,T004,Nagpur,Maharashtra,"Dhawan, Rout and Dubey Hospital",26,546,Phone,True
HCP0149,Dr. Upasna Lanka,Pulmonologist,Tier 3,T005,Delhi,Delhi,Rao-Buch Hospital,16,874,Webinar,True
HCP0150,Dr. Lajita Nadig,Gastroenterologist,Tier 3,T006,Gurgaon,Haryana,"Sura, Banik and Biswas Hospital",26,475,Email,False
HCP0151,Dr. Bhavna Karan,Cardiologist,Tier 1,T007,Bengaluru,Karnataka,"Chana, Saraf and Chaudhari Hospital",23,182,Webinar,True
HCP0152,Dr. Sachi Ganesan,Dermatologist,Tier 3,T008,Hyderabad,Telangana,"Mistry, Balakrishnan and Batra Hospital",2,819,Email,False
HCP0153,Dr. Daksh Memon,Endocrinologist,Tier 1,T009,Chennai,Tamil Nadu,Prasad-Sankar Hospital,18,426,Webinar,True
HCP0154,Dr. Yash Wali,Gastroenterologist,Tier 3,T010,Kolkata,West Bengal,Gole-Garde Hospital,26,404,Webinar,True
HCP0155,Dr. Farhan Raja,Orthopedic Surgeon,Tier 1,T011,Ahmedabad,Gujarat,"Khosla, Tank and Dhar Hospital",20,312,In-person,False
HCP0156,Dr. Triya Kumar,Diabetologist,Tier 3,T012,Jaipur,Rajasthan,Kumer-Andra Hospital,8,534,Email,False
HCP0157,Dr. Bhavna Dugar,Cardiologist,Tier 1,T001,Pune,Maharashtra,Sathe LLC Hospital,5,380,Phone,False
HCP0158,Dr. Panini Krishna,Neurologist,Tier 1,T002,Mumbai,Maharashtra,Mittal-Issac Hospital,35,501,Email,True
HCP0159,Dr. Vasudha Chhabra,Endocrinologist,Tier 1,T003,Nashik,Maharashtra,Raj PLC Hospital,26,714,Email,False
HCP0160,Dr. Chakrika Merchant,Orthopedic Surgeon,Tier 1,T004,Nagpur,Maharashtra,Randhawa LLC Hospital,31,733,Phone,False
HCP0161,Dr. Chandran Taneja,General Physician,Tier 3,T005,Delhi,Delhi,Karpe-Pandey Hospital,31,374,Email,True
HCP0162,Dr. Ranveer Krishna,Oncologist,Tier 3,T006,Gurgaon,Haryana,"Devan, Chatterjee and Baral Hospital",21,734,Webinar,False
HCP0163,Dr. Ridhi Bandi,Oncologist,Tier 3,T007,Bengaluru,Karnataka,"Patla, Deep and Chana Hospital",14,473,Webinar,True
HCP0164,Dr. Eta Sagar,Pulmonologist,Tier 2,T008,Hyderabad,Telangana,Iyer and Sons Hospital,24,668,Phone,False
HCP0165,Dr. Yachana Mahajan,Cardiologist,Tier 3,T009,Chennai,Tamil Nadu,Kurian Group Hospital,27,361,In-person,True
HCP0166,Dr. Hamsini Contractor,Orthopedic Surgeon,Tier 3,T010,Kolkata,West Bengal,Borra-Dhaliwal Hospital,20,874,Email,False
HCP0167,Dr. Mekhala Pau,Pulmonologist,Tier 3,T011,Ahmedabad,Gujarat,Rana Inc Hospital,18,774,Email,True
HCP0168,Dr. Jatin Sha,Cardiologist,Tier 2,T012,Jaipur,Rajasthan,Lala-Raj Hospital,30,114,Phone,True
HCP0169,Dr. Hritik Kaur,Diabetologist,Tier 3,T001,Pune,Maharashtra,Bakshi-Narang Hospital,22,845,Webinar,True
HCP0170,Dr. Dev Shetty,Pulmonologist,Tier 1,T002,Mumbai,Maharashtra,"Mittal, Rege and Dada Hospital",25,623,Phone,True
HCP0171,Dr. Chakradev Barad,General Physician,Tier 3,T003,Nashik,Maharashtra,Tailor-D’Alia Hospital,32,382,Phone,True
HCP0172,Dr. Wahab Yogi,Oncologist,Tier 3,T004,Nagpur,Maharashtra,Rama Group Hospital,11,852,Email,False
HCP0173,Dr. Oni Dubey,Dermatologist,Tier 2,T005,Delhi,Delhi,Chaudhary-Suri Hospital,27,94,Phone,True
HCP0174,Dr. Ati Bali,Oncologist,Tier 2,T006,Gurgaon,Haryana,"Prabhakar, Kalla and Sawhney Hospital",18,678,Webinar,False
HCP0175,Dr. Warinder Patil,Diabetologist,Tier 3,T007,Bengaluru,Karnataka,Pillai PLC Hospital,32,105,Phone,True
HCP0176,Dr. Darsh Rao,Diabetologist,Tier 3,T008,Hyderabad,Telangana,Gupta-Das Hospital,31,797,Phone,False
HCP0177,Dr. Gavin Kala,Diabetologist,Tier 1,T009,Chennai,Tamil Nadu,"Bail, Bedi and Nath Hospital",4,391,Webinar,True
HCP0178,Dr. Jeremiah Jha,Diabetologist,Tier 2,T010,Kolkata,West Bengal,Johal PLC Hospital,10,477,Webinar,False
HCP0179,Dr. Viraj Narasimhan,Dermatologist,Tier 2,T011,Ahmedabad,Gujarat,Agate LLC Hospital,11,504,In-person,False
HCP0180,Dr. Kalpit Zachariah,Orthopedic Surgeon,Tier 2,T012,Jaipur,Rajasthan,Ghosh-Choudhary Hospital,19,113,Phone,True
HCP0181,Dr. Karan Aurora,Oncologist,Tier 2,T001,Pune,Maharashtra,Khanna-Naik Hospital,17,451,In-person,False
HCP0182,Dr. Owen Lanka,Dermatologist,Tier 3,T002,Mumbai,Maharashtra,Date Ltd Hospital,24,142,Webinar,False
HCP0183,Dr. Ishaan Bhatt,Pulmonologist,Tier 3,T003,Nashik,Maharashtra,Sen-Pathak Hospital,31,173,Email,True
HCP0184,Dr. Siya Thakur,Cardiologist,Tier 3,T004,Nagpur,Maharashtra,Bassi Ltd Hospital,17,208,Email,True
HCP0185,Dr. Tara Balasubramanian,Dermatologist,Tier 2,T005,Delhi,Delhi,Srinivas Group Hospital,15,318,Phone,True
HCP0186,Dr. Hritik Swaminathan,Orthopedic Surgeon,Tier 1,T006,Gurgaon,Haryana,"Sawhney, Borah and Buch Hospital",11,213,Phone,True
HCP0187,Dr. Manbir Bhatti,Diabetologist,Tier 3,T007,Bengaluru,Karnataka,Maharaj PLC Hospital,3,214,In-person,False
HCP0188,Dr. Lakshmi Wali,Pulmonologist,Tier 3,T008,Hyderabad,Telangana,Setty-Tiwari Hospital,3,258,Phone,True
HCP0189,Dr. Hardik Contractor,Endocrinologist,Tier 3,T009,Chennai,Tamil Nadu,"Kale, Sani and Seth Hospital",35,196,In-person,False
HCP0190,Dr. Odika Nori,Oncologist,Tier 3,T010,Kolkata,West Bengal,Rastogi-Sagar Hospital,34,687,In-person,False
