hcp_id,hcp_name,territory_id,territory_name,hcp_tier,total_net_sales,total_calls,avg_engagement_score,days_since_last_call,segment_label,risk_level,risk_score,prioritization_score,recommended_action
HCP0065,Dr. Hemani Murthy,T005,Delhi NCR,Tier 3,1378730.28,35,53.2,19,Low Engagement,Medium Risk,44.3,45.3,Monitor low engagement
HCP0066,Dr. Ranveer Kumar,T006,Gurgaon Corporate,Tier 3,2131574.19,38,47.47,50,Growth Potential,Medium Risk,57.3,53.7,Maintain engagement
HCP0067,Dr. Januja Sankar,T007,Bengaluru Urban,Tier 3,1999458.06,40,50.0,25,Low Engagement,Medium Risk,43.9,48.2,Monitor low engagement
HCP0068,Dr. Jeet Mital,T008,Hyderabad Central,Tier 1,2472548.06,44,45.18,4,Low Engagement,Low Risk,36.9,29.0,Monitor low engagement
HCP0069,Dr. Chakrika Datta,T009,Chennai Metro,Tier 2,2231919.04,30,43.8,10,Low Engagement,Medium Risk,51.1,33.4,Monitor low engagement
HCP0070,Dr. Owen Mitra,T010,Kolkata East,Tier 1,7748665.48,28,48.0,2,Low Engagement,Medium Risk,34.8,49.2,Monitor low engagement
HCP0071,Dr. Shivansh Sani,T011,Ahmedabad Gujarat,Tier 3,2623543.97,42,48.43,3,Low Engagement,Medium Risk,33.7,32.6,Monitor low engagement
HCP0072,Dr. Tanay Vaidya,T012,Jaipur Rajasthan,Tier 2,2346398.25,37,45.81,2,Low Engagement,Low Risk,41.1,25.0,Monitor low engagement
HCP0073,Dr. Yutika Nayak,T001,Pune Central,Tier 2,8070277.85,50,51.1,9,High Value,Medium Risk,21.1,74.9,Maintain engagement
HCP0074,Dr. Umang Issac,T002,Mumbai Metro,Tier 3,4762325.88,45,47.98,4,High Value,Medium Risk,27.4,56.4,Maintain engagement
HCP0075,Dr. Vaishnavi Bora,T003,Nashik North,Tier 3,7465628.59,52,44.12,27,High Value,High Risk,35.5,75.6,Schedule follow-up call
HCP0076,Dr. Warda Ratta,T004,Nagpur Vidarbha,Tier 3,3550009.99,53,53.64,0,High Value,Low Risk,19.4,52.4,Maintain engagement
HCP0077,Dr. Hredhaan Sandal,T005,Delhi NCR,Tier 2,1667003.26,36,47.5,16,Low Engagement,Medium Risk,47.9,36.5,Monitor low engagement
HCP0078,Dr. Chandresh Krish,T006,Gurgaon Corporate,Tier 2,1604912.71,30,53.5,18,Low Engagement,Medium Risk,45.7,46.5,Monitor low engagement
HCP0079,Dr. Edhitha Savant,T007,Bengaluru Urban,Tier 2,1295264.0,25,44.8,3,Low Engagement,Low Risk,52.6,16.3,Monitor low engagement
HCP0080,Dr. Vaishnavi Sengupta,T008,Hyderabad Central,Tier 3,1596788.21,39,40.92,13,Low Engagement,Medium Risk,52.0,28.9,Monitor low engagement
HCP0081,Dr. William Maharaj,T009,Chennai Metro,Tier 2,3421808.63,30,39.9,36,Growth Potential,High Risk,61.3,58.1,Schedule follow-up call
HCP0082,Dr. Anita Nayak,T010,Kolkata East,Tier 2,7096344.44,48,48.15,15,High Value,Medium Risk,27.9,74.1,Maintain engagement
HCP0083,Dr. Matthew Kashyap,T011,Ahmedabad Gujarat,Tier 2,1568666.97,33,51.45,4,Low Engagement,Low Risk,41.5,29.6,Monitor low engagement
HCP0084,Dr. Oeshi Reddy,T012,Jaipur Rajasthan,Tier 3,1133787.06,38,48.08,26,Low Engagement,Medium Risk,51.0,38.6,Monitor low engagement
HCP0085,Dr. Samuel Salvi,T001,Pune Central,Tier 2,6416606.29,46,52.26,20,High Value,Low Risk,26.3,83.3,Schedule follow-up call
HCP0086,Dr. Abeer Pandey,T002,Mumbai Metro,Tier 3,1617361.29,53,53.36,13,High Value,Medium Risk,31.4,53.4,Maintain engagement
HCP0087,Dr. Vinaya Kanda,T003,Nashik North,Tier 3,2956106.07,47,53.21,12,High Value,Medium Risk,28.1,63.9,Maintain engagement
HCP0088,Dr. Lopa Nayar,T004,Nagpur Vidarbha,Tier 3,3819352.37,49,49.51,4,High Value,Medium Risk,25.8,54.9,Maintain engagement
HCP0089,Dr. Avi Ramesh,T005,Delhi NCR,Tier 2,1650499.28,27,49.11,6,Low Engagement,Medium Risk,47.3,29.8,Monitor low engagement
HCP0090,Dr. Triya Gopal,T006,Gurgaon Corporate,Tier 3,2733932.47,38,57.39,19,Low Engagement,Medium Risk,32.0,61.4,Monitor low engagement
HCP0091,Dr. Siddharth Sha,T007,Bengaluru Urban,Tier 1,1726543.93,39,58.08,19,Low Engagement,Medium Risk,34.3,52.7,Monitor low engagement
HCP0092,Dr. Oviya Krishnan,T008,Hyderabad Central,Tier 2,1002352.15,31,47.58,0,Low Engagement,Medium Risk,47.0,12.3,Monitor low engagement
HCP0093,Dr. Inaya Kapur,T009,Chennai Metro,Tier 3,1462224.49,39,42.13,8,Low Engagement,Low Risk,49.2,23.5,Monitor low engagement
HCP0094,Dr. Ryan Bahri,T010,Kolkata East,Tier 3,1715422.77,37,52.05,1,Low Engagement,Low Risk,36.2,26.8,Monitor low engagement
HCP0095,Dr. Ishwar Kamdar,T011,Ahmedabad Gujarat,Tier 3,1279624.29,43,51.49,33,Growth Potential,Low Risk,45.8,51.7,Review growth opportunity
HCP0096,Dr. Ishwar Gade,T012,Jaipur Rajasthan,Tier 1,7745491.72,32,46.09,6,High Value,Low Risk,36.5,63.8,Maintain engagement
HCP0097,Dr. Keya Ranganathan,T001,Pune Central,Tier 3,2468818.4,43,54.3,20,Low Engagement,Low Risk,33.1,57.6,Monitor low engagement
HCP0098,Dr. Charvi Dara,T002,Mumbai Metro,Tier 1,5851885.78,47,48.49,62,Growth Potential,Medium Risk,46.1,77.5,Maintain engagement
HCP0099,Dr. Kamala Biswas,T003,Nashik North,Tier 1,7586466.46,42,45.57,5,High Value,Low Risk,29.6,61.3,Maintain engagement
HCP0100,Dr. Hitesh Sant,T004,Nagpur Vidarbha,Tier 3,1267249.46,49,49.02,7,Low Engagement,Medium Risk,36.6,27.4,Monitor low engagement
HCP0101,Dr. Patrick Vig,T005,Delhi NCR,Tier 2,3619672.91,38,51.87,30,Growth Potential,Low Risk,39.4,71.4,Review growth opportunity
HCP0102,Dr. Rajata Loyal,T006,Gurgaon Corporate,Tier 2,3697315.75,34,47.44,16,Low Engagement,Medium Risk,42.2,53.2,Monitor low engagement
HCP0103,Dr. Shravya Kohli,T007,Bengaluru Urban,Tier 1,1932693.26,27,57.22,15,Low Engagement,Medium Risk,40.5,51.1,Monitor low engagement
HCP0104,Dr. Warda Nair,T008,Hyderabad Central,Tier 2,4044406.44,38,51.24,5,Low Engagement,Low Risk,29.8,50.7,Monitor low engagement
HCP0105,Dr. Aarna Oak,T009,Chennai Metro,Tier 3,1775398.82,45,46.71,6,Low Engagement,Low Risk,38.6,27.4,Monitor low engagement
HCP0106,Dr. Frederick Khurana,T010,Kolkata East,Tier 1,6466303.92,41,53.63,5,High Value,Low Risk,21.8,71.4,Maintain engagement
HCP0107,Dr. Vritti Sem,T011,Ahmedabad Gujarat,Tier 3,4019766.81,39,43.62,13,Low Engagement,Medium Risk,40.6,49.4,Monitor low engagement
HCP0108,Dr. Nidhi Kohli,T012,Jaipur Rajasthan,Tier 3,3598222.7,33,49.55,13,Low Engagement,Medium Risk,39.7,54.1,Monitor low engagement
HCP0109,Dr. Pavani Narayanan,T001,Pune Central,Tier 3,3852777.4,43,51.19,20,High Value,Low Risk,32.2,73.4,Schedule follow-up call
HCP0110,Dr. Zayan Kashyap,T002,Mumbai Metro,Tier 1,5511709.26,46,50.63,25,High Value,Low Risk,30.8,80.9,Schedule follow-up call
HCP0111,Dr. Qasim Handa,T003,Nashik North,Tier 2,2871945.89,54,54.65,50,Growth Potential,Low Risk,39.0,71.2,Review growth opportunity
HCP0112,Dr. Harish Hari,T004,Nagpur Vidarbha,Tier 3,3261239.86,46,49.02,4,High Value,Medium Risk,29.3,49.8,Maintain engagement
HCP0113,Dr. Chasmum Atwal,T005,Delhi NCR,Tier 3,1876015.88,43,47.56,11,Low Engagement,Medium Risk,39.9,34.5,Monitor low engagement
HCP0114,Dr. Chatura Master,T006,Gurgaon Corporate,Tier 3,3902068.32,37,49.27,3,Low Engagement,Medium Risk,32.4,43.6,Monitor low engagement
HCP0115,Dr. Bhavani Singh,T007,Bengaluru Urban,Tier 2,5654967.95,40,50.58,10,High Value,Medium Risk,28.1,72.1,Maintain engagement
HCP0116,Dr. Charan Krishnan,T008,Hyderabad Central,Tier 1,5528161.76,29,55.55,31,Growth Potential,Low Risk,38.1,84.6,Review growth opportunity
HCP0117,Dr. Vyanjana Borah,T009,Chennai Metro,Tier 1,5011938.82,35,50.34,18,Low Engagement,Medium Risk,36.4,65.4,Monitor low engagement
HCP0118,Dr. Frederick Kothari,T010,Kolkata East,Tier 2,3871944.8,41,56.85,7,Low Engagement,Low Risk,22.2,59.7,Monitor low engagement
HCP0119,Dr. Lajita Seshadri,T011,Ahmedabad Gujarat,Tier 3,2179361.57,42,56.07,2,Low Engagement,Low Risk,26.4,37.7,Monitor low engagement
HCP0120,Dr. Darpan Chaudhary,T012,Jaipur Rajasthan,Tier 1,3026516.78,39,45.28,14,Low Engagement,Medium Risk,42.1,44.8,Monitor low engagement
HCP0121,Dr. Naksh Khatri,T001,Pune Central,Tier 3,3671078.36,51,50.06,3,High Value,Medium Risk,24.6,53.6,Maintain engagement
HCP0122,Dr. Nilima Seshadri,T002,Mumbai Metro,Tier 2,5484270.85,52,47.46,11,High Value,Medium Risk,27.1,66.9,Maintain engagement
HCP0123,Dr. Bhavya Mandal,T003,Nashik North,Tier 3,5398825.82,49,45.73,11,High Value,Medium Risk,30.1,65.0,Monitor low engagement
HCP0124,Dr. Rudra Sandal,T004,Nagpur Vidarbha,Tier 1,6754523.77,57,47.88,5,High Value,Medium Risk,22.8,62.7,Maintain engagement
HCP0125,Dr. Amaira Dhar,T005,Delhi NCR,Tier 3,2104075.72,36,51.58,9,Low Engagement,Medium Risk,39.1,41.4,Monitor low engagement
HCP0126,Dr. Bhavya Sarna,T006,Gurgaon Corporate,Tier 3,2203167.79,34,51.38,4,Low Engagement,Low Risk,38.4,35.3,Monitor low engagement
HCP0127,Dr. Neha Magar,T007,Bengaluru Urban,Tier 3,2213130.94,43,43.84,13,Low Engagement,Medium Risk,43.4,36.0,Monitor low engagement
HCP0128,Dr. Balveer Sankaran,T008,Hyderabad Central,Tier 3,1485515.39,49,54.47,4,Low Engagement,Low Risk,28.5,33.0,Monitor low engagement
HCP0129,Dr. Veer Bail,T009,Chennai Metro,Tier 3,1227346.02,36,50.03,12,Low Engagement,Medium Risk,45.2,34.0,Monitor low engagement
HCP0130,Dr. Zilmil Sathe,T010,Kolkata East,Tier 3,1642808.78,36,46.47,5,Low Engagement,Low Risk,45.1,24.4,Monitor low engagement
HCP0131,Dr. Gavin Singhal,T011,Ahmedabad Gujarat,Tier 3,916369.41,48,50.5,6,Low Engagement,Low Risk,35.6,27.4,Monitor low engagement
HCP0132,Dr. Henry Dyal,T012,Jaipur Rajasthan,Tier 1,3455101.7,37,47.92,35,Growth Potential,Medium Risk,47.3,64.1,Maintain engagement
HCP0133,Dr. Nandini Bansal,T001,Pune Central,Tier 2,3186603.0,46,49.11,5,High Value,Medium Risk,29.8,51.3,Maintain engagement
HCP0134,Dr. Ekiya D’Alia,T002,Mumbai Metro,Tier 3,3654360.32,42,54.21,10,Low Engagement,Medium Risk,26.4,58.9,Monitor low engagement
HCP0135,Dr. Odika Bhagat,T003,Nashik North,Tier 3,2841780.55,46,46.02,5,High Value,Low Risk,34.6,44.2,Maintain engagement
HCP0136,Dr. Riya Behl,T004,Nagpur Vidarbha,Tier 3,1965684.97,50,42.0,25,High Value,High Risk,48.3,49.4,Schedule follow-up call
HCP0137,Dr. Bhavna Sarma,T005,Delhi NCR,Tier 2,1536114.96,24,44.08,11,Low Engagement,Medium Risk,55.6,28.1,Monitor low engagement
HCP0138,Dr. Nathan Mukhopadhyay,T006,Gurgaon Corporate,Tier 2,3775944.19,28,50.89,5,Low Engagement,Low Risk,37.1,48.8,Monitor low engagement
HCP0139,Dr. Ishaan Shenoy,T007,Bengaluru Urban,Tier 3,2947330.47,28,50.07,13,Low Engagement,Medium Risk,43.7,50.1,Monitor low engagement
HCP0140,Dr. Yashodhara Mahajan,T008,Hyderabad Central,Tier 3,2607291.48,35,44.77,21,Low Engagement,High Risk,49.9,45.7,Schedule follow-up call
HCP0141,Dr. Tanmayi Dhillon,T009,Chennai Metro,Tier 2,2414396.55,35,54.09,13,Low Engagement,Medium Risk,37.0,52.0,Monitor low engagement
HCP0142,Dr. Ekaraj Majumdar,T010,Kolkata East,Tier 3,4198286.97,31,55.19,4,Low Engagement,Low Risk,29.3,55.7,Monitor low engagement
HCP0143,Dr. Aarnav Mandal,T011,Ahmedabad Gujarat,Tier 3,4037107.9,39,52.54,10,Low Engagement,Medium Risk,29.4,59.0,Monitor low engagement
HCP0144,Dr. Veda Pai,T012,Jaipur Rajasthan,Tier 3,2053091.42,37,44.43,5,Low Engagement,Low Risk,45.1,25.6,Monitor low engagement
HCP0145,Dr. Ranbir Khare,T001,Pune Central,Tier 3,4878728.85,57,48.63,7,High Value,Medium Risk,24.5,62.6,Maintain engagement
HCP0146,Dr. Eesha Solanki,T002,Mumbai Metro,Tier 3,2582538.79,43,51.56,5,Low Engagement,Low Risk,30.2,41.2,Monitor low engagement
HCP0147,Dr. Balhaar Date,T003,Nashik North,Tier 3,1859826.65,38,54.87,9,Low Engagement,Medium Risk,34.6,43.5,Monitor low engagement
HCP0148,Dr. Tanmayi Aurora,T004,Nagpur Vidarbha,Tier 2,5220090.18,42,49.74,5,High Value,Medium Risk,26.5,63.1,Maintain engagement
HCP0149,Dr. Upasna Lanka,T005,Delhi NCR,Tier 3,3354472.31,35,40.77,13,Low Engagement,Medium Risk,49.0,43.9,Monitor low engagement
HCP0150,Dr. Lajita Nadig,T006,Gurgaon Corporate,Tier 3,2468420.59,44,50.14,8,Low Engagement,Medium Risk,32.9,41.9,Monitor low engagement
HCP0151,Dr. Bhavna Karan,T007,Bengaluru Urban,Tier 1,3781841.73,36,44.69,24,Low Engagement,High Risk,46.6,55.6,Schedule follow-up call
HCP0152,Dr. Sachi Ganesan,T008,Hyderabad Central,Tier 3,2844633.64,38,49.13,8,Low Engagement,Medium Risk,37.0,42.4,Monitor low engagement
HCP0153,Dr. Daksh Memon,T009,Chennai Metro,Tier 1,2749761.95,43,49.07,8,Low Engagement,Medium Risk,33.6,41.9,Monitor low engagement
HCP0154,Dr. Yash Wali,T010,Kolkata East,Tier 3,3616612.2,34,45.24,0,Low Engagement,Low Risk,38.9,30.9,Monitor low engagement
HCP0155,Dr. Farhan Raja,T011,Ahmedabad Gujarat,Tier 1,2441848.92,33,48.42,17,Low Engagement,Medium Risk,46.2,45.8,Monitor low engagement
HCP0156,Dr. Triya Kumar,T012,Jaipur Rajasthan,Tier 3,1672374.57,42,47.17,10,Low Engagement,Medium Risk,41.3,31.7,Monitor low engagement
HCP0157,Dr. Bhavna Dugar,T001,Pune Central,Tier 1,5975855.94,51,41.82,10,High Value,Medium Risk,32.8,62.5,Monitor low engagement
HCP0158,Dr. Panini Krishna,T002,Mumbai Metro,Tier 1,3353758.24,51,50.71,10,High Value,Medium Risk,27.5,61.6,Maintain engagement
HCP0159,Dr. Vasudha Chhabra,T003,Nashik North,Tier 1,5714770.95,37,50.22,5,High Value,Medium Risk,29.1,65.6,Maintain engagement
HCP0160,Dr. Chakrika Merchant,T004,Nagpur Vidarbha,Tier 1,4703560.28,51,49.24,6,High Value,Medium Risk,24.5,62.1,Maintain engagement
HCP0161,Dr. Chandran Taneja,T005,Delhi NCR,Tier 3,1200831.92,30,41.93,45,Growth Potential,High Risk,70.2,41.1,Schedule follow-up call
HCP0162,Dr. Ranveer Krishna,T006,Gurgaon Corporate,Tier 3,3310266.56,43,44.86,43,Growth Potential,High Risk,49.7,60.5,Schedule follow-up call
HCP0163,Dr. Ridhi Bandi,T007,Bengaluru Urban,Tier 3,2359323.83,33,51.82,28,Growth Potential,Low Risk,46.8,61.0,Review growth opportunity
HCP0164,Dr. Eta Sagar,T008,Hyderabad Central,Tier 2,7152628.57,39,62.64,26,High Value,Low Risk,20.5,93.1,Schedule follow-up call
HCP0165,Dr. Yachana Mahajan,T009,Chennai Metro,Tier 3,1305330.42,40,53.0,31,Growth Potential,Low Risk,45.3,53.5,Review growth opportunity
HCP0166,Dr. Hamsini Contractor,T010,Kolkata East,Tier 3,1806443.76,46,51.61,13,Low Engagement,Medium Risk,35.1,42.7,Monitor low engagement
HCP0167,Dr. Mekhala Pau,T011,Ahmedabad Gujarat,Tier 3,1908207.22,34,43.32,52,Growth Potential,High Risk,66.7,48.2,Schedule follow-up call
HCP0168,Dr. Jatin Sha,T012,Jaipur Rajasthan,Tier 2,2645179.33,42,54.02,2,Low Engagement,Low Risk,26.9,39.7,Monitor low engagement
HCP0169,Dr. Hritik Kaur,T001,Pune Central,Tier 3,1770570.25,49,44.86,10,High Value,Medium Risk,40.6,39.8,Monitor low engagement
HCP0170,Dr. Dev Shetty,T002,Mumbai Metro,Tier 1,9848516.54,47,51.32,22,High Value,Low Risk,26.3,85.8,Schedule follow-up call
HCP0171,Dr. Chakradev Barad,T003,Nashik North,Tier 3,1733186.5,49,49.22,35,Growth Potential,Medium Risk,45.1,51.9,Maintain engagement
