recommendation_rank,hcp_id,hcp_name,territory_id,territory_name,hcp_tier,total_net_sales,total_calls,avg_engagement_score,days_since_last_call,segment_label,risk_level,risk_score,revenue_percentile_rank,recency_score,engagement_percentile_rank,prioritization_score,recommended_action
58,HCP0026,Dr. Noah Lanka,T002,Mumbai Metro,Tier 2,5515152.5,42,47.64,32,Growth Potential,Medium Risk,38.8,0.856,0.9,0.27,72.4,Maintain engagement
59,HCP0115,Dr. Bhavani Singh,T007,Bengaluru Urban,Tier 2,5654967.95,40,50.58,10,High Value,Medium Risk,28.1,0.878,0.529,0.524,72.1,Maintain engagement
60,HCP0325,Dr. Aditya Misra,T001,Pune Central,Tier 2,5594110.67,52,50.19,11,High Value,Medium Risk,23.8,0.868,0.563,0.494,72.1,Maintain engagement
61,HCP0331,Dr. Advika Rajagopal,T007,Bengaluru Urban,Tier 1,4240401.91,43,48.07,23,High Value,Medium Risk,35.9,0.742,0.826,0.315,72.0,Schedule follow-up call
62,HCP0489,Dr. Kashish Shanker,T009,Chennai Metro,Tier 1,6402635.25,39,44.31,20,High Value,High Risk,39.4,0.902,0.782,0.093,71.9,Schedule follow-up call
63,HCP0106,Dr. Frederick Khurana,T010,Kolkata East,Tier 1,6466303.92,41,53.63,5,High Value,Low Risk,21.8,0.906,0.326,0.743,71.4,Maintain engagement
64,HCP0101,Dr. Patrick Vig,T005,Delhi NCR,Tier 2,3619672.91,38,51.87,30,Growth Potential,Low Risk,39.4,0.634,0.882,0.635,71.4,Review growth opportunity
65,HCP0354,Dr. Charita Maharaj,T006,Gurgaon Corporate,Tier 1,3600443.72,38,51.08,42,Growth Potential,Low Risk,44.9,0.628,0.94,0.558,71.4,Review growth opportunity
66,HCP0194,Dr. Jason Roy,T002,Mumbai Metro,Tier 1,5753306.14,52,54.1,5,High Value,Low Risk,16.9,0.884,0.326,0.78,71.3,Maintain engagement
67,HCP0205,Dr. Qushi Choudhry,T001,Pune Central,Tier 1,6820741.14,54,60.22,2,High Value,Low Risk,7.9,0.918,0.155,0.97,71.2,Maintain engagement
68,HCP0111,Dr. Qasim Handa,T003,Nashik North,Tier 2,2871945.89,54,54.65,50,Growth Potential,Low Risk,39.0,0.46,0.961,0.81,71.2,Review growth opportunity
69,HCP0480,Dr. Yuvraj Saha,T012,Jaipur Rajasthan,Tier 2,4427309.32,37,47.76,43,Growth Potential,Medium Risk,47.8,0.764,0.945,0.282,70.8,Maintain engagement
70,HCP0371,Dr. Omkaar Dey,T011,Ahmedabad Gujarat,Tier 2,5147838.0,39,44.62,52,Growth Potential,High Risk,52.1,0.828,0.971,0.11,70.4,Schedule follow-up call
71,HCP0227,Dr. Lila Rege,T011,Ahmedabad Gujarat,Tier 1,5054861.23,31,58.48,12,Low Engagement,Medium Risk,27.3,0.814,0.589,0.956,70.2,Monitor low engagement
72,HCP0401,Dr. Meghana Natarajan,T005,Delhi NCR,Tier 1,5150289.44,41,44.8,44,Growth Potential,High Risk,47.5,0.83,0.948,0.119,69.9,Schedule follow-up call
73,HCP0040,Dr. Bhavika Sampath,T004,Nagpur Vidarbha,Tier 3,2367348.87,41,60.95,36,Growth Potential,Low Risk,33.4,0.354,0.922,0.982,69.7,Review growth opportunity
74,HCP0338,Dr. Nitesh Narang,T002,Mumbai Metro,Tier 1,7069184.1,42,50.74,6,High Value,Low Risk,24.5,0.924,0.384,0.538,69.6,Maintain engagement
75,HCP0048,Dr. Kevin Palla,T012,Jaipur Rajasthan,Tier 3,3707040.74,42,49.74,36,Growth Potential,Medium Risk,40.9,0.652,0.922,0.447,69.5,Maintain engagement
76,HCP0402,Dr. Qushi Deshpande,T006,Gurgaon Corporate,Tier 2,8185711.95,32,41.28,14,High Value,Medium Risk,44.7,0.968,0.651,0.022,68.8,Monitor low engagement
77,HCP0394,Dr. Harshil Bal,T010,Kolkata East,Tier 2,3422445.82,37,51.03,35,Growth Potential,Low Risk,43.9,0.58,0.913,0.552,68.8,Review growth opportunity
78,HCP0172,Dr. Wahab Yogi,T004,Nagpur Vidarbha,Tier 3,3350675.2,34,50.41,46,Growth Potential,Low Risk,51.2,0.57,0.954,0.51,68.8,Review growth opportunity
79,HCP0212,Dr. Nidhi Bail,T008,Hyderabad Central,Tier 2,2354735.96,33,62.64,31,Growth Potential,Low Risk,35.8,0.346,0.894,0.993,68.8,Review growth opportunity
80,HCP0039,Dr. Nitesh Raghavan,T003,Nashik North,Tier 3,4525493.35,47,51.96,8,High Value,Low Risk,23.7,0.772,0.459,0.64,68.6,Maintain engagement
81,HCP0062,Dr. Mohini Narasimhan,T002,Mumbai Metro,Tier 1,8197105.57,50,46.9,9,High Value,Medium Risk,25.8,0.97,0.495,0.228,68.4,Monitor low engagement
82,HCP0457,Dr. Abhiram Gala,T001,Pune Central,Tier 1,12096063.11,48,55.1,0,High Value,Low Risk,13.4,1.0,0.038,0.854,68.2,Maintain engagement
83,HCP0018,Dr. Devansh Rajan,T006,Gurgaon Corporate,Tier 1,7525277.02,29,51.17,13,Low Engagement,Medium Risk,35.0,0.948,0.622,0.564,68.1,Monitor low engagement
84,HCP0400,Dr. Rohan Shankar,T004,Nagpur Vidarbha,Tier 1,3580259.65,51,55.47,8,High Value,Low Risk,20.7,0.618,0.459,0.878,68.0,Maintain engagement
85,HCP0210,Dr. Mekhala Basak,T006,Gurgaon Corporate,Tier 3,2908550.56,29,51.45,53,Growth Potential,Low Risk,56.8,0.47,0.974,0.603,67.8,Review growth opportunity
86,HCP0302,Dr. Xiti Baria,T002,Mumbai Metro,Tier 2,6292505.32,46,50.91,5,High Value,Low Risk,22.4,0.894,0.326,0.548,67.0,Maintain engagement
87,HCP0473,Dr. Ojas Prabhu,T005,Delhi NCR,Tier 1,5681259.39,29,51.83,13,Low Engagement,Medium Risk,35.3,0.88,0.622,0.63,67.0,Monitor low engagement
88,HCP0122,Dr. Nilima Seshadri,T002,Mumbai Metro,Tier 2,5484270.85,52,47.46,11,High Value,Medium Risk,27.1,0.852,0.563,0.258,66.9,Maintain engagement
89,HCP0458,Dr. Nisha Savant,T002,Mumbai Metro,Tier 3,2715422.27,47,57.15,13,High Value,Medium Risk,24.8,0.43,0.622,0.91,66.9,Maintain engagement
90,HCP0418,Dr. Zaitra Ghosh,T010,Kolkata East,Tier 2,4047353.1,30,53.97,18,Low Engagement,Medium Risk,36.8,0.704,0.73,0.766,66.8,Monitor low engagement
91,HCP0220,Dr. Anvi Bhalla,T004,Nagpur Vidarbha,Tier 1,6206516.31,44,52.98,3,High Value,Low Risk,20.1,0.892,0.216,0.698,66.7,Maintain engagement
92,HCP0361,Dr. Charan Loyal,T001,Pune Central,Tier 1,5278849.84,45,47.02,12,High Value,Medium Risk,30.6,0.842,0.589,0.23,66.7,Monitor low engagement
93,HCP0300,Dr. Ati Dani,T012,Jaipur Rajasthan,Tier 1,3986909.85,42,50.6,11,High Value,Medium Risk,30.0,0.692,0.563,0.526,66.6,Maintain engagement
94,HCP0493,Dr. Ikbal Dugal,T001,Pune Central,Tier 3,4070520.74,51,48.14,15,High Value,Medium Risk,30.3,0.708,0.668,0.326,66.3,Maintain engagement
95,HCP0405,Dr. Ishaan Iyengar,T009,Chennai Metro,Tier 2,3225931.14,32,60.78,19,Low Engagement,Medium Risk,30.9,0.544,0.756,0.978,66.2,Monitor low engagement
96,HCP0420,Dr. Ayush Hora,T012,Jaipur Rajasthan,Tier 2,5287059.6,43,55.02,2,High Value,Low Risk,18.6,0.844,0.155,0.846,66.1,Maintain engagement
97,HCP0435,Dr. Harsh Kota,T003,Nashik North,Tier 3,4940116.67,45,49.93,8,High Value,Medium Risk,26.4,0.804,0.459,0.462,66.1,Maintain engagement
98,HCP0239,Dr. Neel Iyengar,T011,Ahmedabad Gujarat,Tier 3,2917244.24,50,50.52,51,Growth Potential,Low Risk,44.9,0.472,0.966,0.522,66.0,Review growth opportunity
99,HCP0481,Dr. Jagdish Thakkar,T001,Pune Central,Tier 1,7658482.51,55,54.85,0,High Value,Low Risk,12.6,0.952,0.038,0.822,65.9,Maintain engagement
100,HCP0374,Dr. Kashvi Bhasin,T002,Mumbai Metro,Tier 3,4805869.19,41,49.41,9,High Value,Medium Risk,29.8,0.79,0.495,0.422,65.9,Maintain engagement
101,HCP0209,Dr. Lajita Walia,T005,Delhi NCR,Tier 1,4937044.74,38,49.39,22,Low Engagement,Medium Risk,36.7,0.802,0.814,0.419,65.8,Monitor low engagement
102,HCP0159,Dr. Vasudha Chhabra,T003,Nashik North,Tier 1,5714770.95,37,50.22,5,High Value,Medium Risk,29.1,0.882,0.326,0.498,65.6,Maintain engagement
103,HCP0497,Dr. Gavin Kothari,T005,Delhi NCR,Tier 2,4998525.13,30,41.93,30,Growth Potential,High Risk,53.3,0.81,0.882,0.031,65.5,Schedule follow-up call
104,HCP0397,Dr. Liam Luthra,T001,Pune Central,Tier 1,8689602.92,46,40.78,10,High Value,Medium Risk,34.4,0.978,0.529,0.014,65.4,Monitor low engagement
105,HCP0117,Dr. Vyanjana Borah,T009,Chennai Metro,Tier 1,5011938.82,35,50.34,18,Low Engagement,Medium Risk,36.4,0.812,0.73,0.504,65.4,Monitor low engagement
106,HCP0441,Dr. Madhav Nagy,T009,Chennai Metro,Tier 1,3569698.13,41,53.63,21,Low Engagement,Low Risk,32.1,0.616,0.802,0.743,65.4,Monitor low engagement
107,HCP0214,Dr. Farhan Randhawa,T010,Kolkata East,Tier 3,4331169.03,45,58.42,2,High Value,Low Risk,15.3,0.756,0.155,0.952,65.2,Maintain engagement
108,HCP0123,Dr. Bhavya Mandal,T003,Nashik North,Tier 3,5398825.82,49,45.73,11,High Value,Medium Risk,30.1,0.848,0.563,0.17,65.0,Monitor low engagement
109,HCP0269,Dr. Kamala Prabhu,T005,Delhi NCR,Tier 2,5292442.07,35,53.49,10,Low Engagement,Medium Risk,29.4,0.846,0.529,0.728,65.0,Monitor low engagement
110,HCP0198,Dr. Ayush Gole,T006,Gurgaon Corporate,Tier 2,4873617.19,34,50.38,18,Low Engagement,Medium Risk,37.4,0.796,0.73,0.508,64.9,Monitor low engagement
111,HCP0249,Dr. Tanvi Bhatnagar,T009,Chennai Metro,Tier 1,2630903.49,35,50.69,54,Growth Potential,Low Risk,55.4,0.416,0.976,0.533,64.6,Review growth opportunity
112,HCP0033,Dr. Raagini Pandya,T009,Chennai Metro,Tier 2,4766722.18,34,48.94,22,Low Engagement,Medium Risk,40.6,0.788,0.814,0.377,64.5,Monitor low engagement
113,HCP0132,Dr. Henry Dyal,T012,Jaipur Rajasthan,Tier 1,3455101.7,37,47.92,35,Growth Potential,Medium Risk,47.3,0.592,0.913,0.296,64.1,Maintain engagement
114,HCP0087,Dr. Vinaya Kanda,T003,Nashik North,Tier 3,2956106.07,47,53.21,12,High Value,Medium Risk,28.1,0.484,0.589,0.714,63.9,Maintain engagement
115,HCP0096,Dr. Ishwar Gade,T012,Jaipur Rajasthan,Tier 1,7745491.72,32,46.09,6,High Value,Low Risk,36.5,0.956,0.384,0.192,63.8,Maintain engagement
116,HCP0284,Dr. Yadavi Ganguly,T008,Hyderabad Central,Tier 2,5446901.85,32,49.84,15,Low Engagement,Medium Risk,37.2,0.85,0.668,0.454,63.8,Monitor low engagement
117,HCP0185,Dr. Tara Balasubramanian,T005,Delhi NCR,Tier 2,4881978.49,44,44.48,13,High Value,Medium Risk,34.8,0.8,0.622,0.105,63.8,Monitor low engagement
118,HCP0383,Dr. Falan Mand,T011,Ahmedabad Gujarat,Tier 1,3475620.91,40,54.9,17,Low Engagement,Medium Risk,30.1,0.596,0.704,0.832,63.6,Monitor low engagement
119,HCP0317,Dr. Farhan Pal,T005,Delhi NCR,Tier 3,3430589.84,31,48.55,29,Growth Potential,Medium Risk,48.3,0.582,0.873,0.347,63.6,Maintain engagement
120,HCP0321,Dr. Laksh Ahluwalia,T009,Chennai Metro,Tier 2,4965434.39,37,49.73,17,Low Engagement,Medium Risk,35.2,0.808,0.704,0.443,63.2,Monitor low engagement
121,HCP0148,Dr. Tanmayi Aurora,T004,Nagpur Vidarbha,Tier 2,5220090.18,42,49.74,5,High Value,Medium Risk,26.5,0.84,0.326,0.447,63.1,Maintain engagement
122,HCP0470,Dr. Dalbir Konda,T002,Mumbai Metro,Tier 1,5095763.49,46,51.24,4,High Value,Low Risk,22.7,0.82,0.264,0.572,63.1,Maintain engagement
123,HCP0414,Dr. Frederick D’Alia,T006,Gurgaon Corporate,Tier 1,4030380.4,28,38.36,46,Growth Potential,High Risk,66.1,0.698,0.954,0.002,63.1,Schedule follow-up call
124,HCP0228,Dr. Forum Chandra,T012,Jaipur Rajasthan,Tier 1,7743005.09,35,52.4,0,High Value,Low Risk,25.3,0.954,0.038,0.676,63.0,Maintain engagement
125,HCP0041,Dr. Teerth Bhardwaj,T005,Delhi NCR,Tier 1,7489345.91,32,50.34,2,High Value,Low Risk,30.4,0.944,0.155,0.504,62.8,Maintain engagement
126,HCP0124,Dr. Rudra Sandal,T004,Nagpur Vidarbha,Tier 1,6754523.77,57,47.88,5,High Value,Medium Risk,22.8,0.916,0.326,0.292,62.7,Maintain engagement
127,HCP0447,Dr. Chanakya Batra,T003,Nashik North,Tier 1,5161518.97,39,55.28,0,High Value,Low Risk,20.5,0.834,0.038,0.869,62.7,Maintain engagement
128,HCP0145,Dr. Ranbir Khare,T001,Pune Central,Tier 3,4878728.85,57,48.63,7,High Value,Medium Risk,24.5,0.798,0.421,0.353,62.6,Maintain engagement
129,HCP0362,Dr. Teerth Srinivas,T002,Mumbai Metro,Tier 1,9508110.38,53,51.34,0,High Value,Low Risk,16.3,0.99,0.038,0.585,62.5,Maintain engagement
130,HCP0157,Dr. Bhavna Dugar,T001,Pune Central,Tier 1,5975855.94,51,41.82,10,High Value,Medium Risk,32.8,0.888,0.529,0.028,62.5,Monitor low engagement
131,HCP0238,Dr. Triya Manda,T010,Kolkata East,Tier 2,3450484.71,25,45.28,47,Growth Potential,High Risk,60.7,0.59,0.958,0.141,62.3,Schedule follow-up call
132,HCP0160,Dr. Chakrika Merchant,T004,Nagpur Vidarbha,Tier 1,4703560.28,51,49.24,6,High Value,Medium Risk,24.5,0.784,0.384,0.408,62.1,Maintain engagement
133,HCP0174,Dr. Ati Bali,T006,Gurgaon Corporate,Tier 2,6331018.65,34,46.5,17,Low Engagement,Medium Risk,39.9,0.898,0.704,0.214,61.8,Monitor low engagement
134,HCP0037,Dr. Chandresh Zachariah,T001,Pune Central,Tier 1,4546684.54,39,47.72,21,Low Engagement,Medium Risk,37.8,0.774,0.802,0.278,61.7,Monitor low engagement
135,HCP0158,Dr. Panini Krishna,T002,Mumbai Metro,Tier 1,3353758.24,51,50.71,10,High Value,Medium Risk,27.5,0.572,0.529,0.536,61.6,Maintain engagement
136,HCP0177,Dr. Gavin Kala,T009,Chennai Metro,Tier 1,3511821.89,30,60.4,10,Low Engagement,Medium Risk,28.0,0.606,0.529,0.972,61.5,Monitor low engagement
137,HCP0491,Dr. Bishakha Lal,T011,Ahmedabad Gujarat,Tier 3,3284209.95,29,46.38,39,Growth Potential,High Risk,56.0,0.556,0.93,0.206,61.5,Schedule follow-up call
138,HCP0208,Dr. Jagdish Amble,T004,Nagpur Vidarbha,Tier 1,7425165.07,50,46.06,5,High Value,Low Risk,25.7,0.94,0.326,0.188,61.4,Maintain engagement
139,HCP0090,Dr. Triya Gopal,T006,Gurgaon Corporate,Tier 3,2733932.47,38,57.39,19,Low Engagement,Medium Risk,32.0,0.438,0.756,0.92,61.4,Monitor low engagement
140,HCP0099,Dr. Kamala Biswas,T003,Nashik North,Tier 1,7586466.46,42,45.57,5,High Value,Low Risk,29.6,0.95,0.326,0.162,61.3,Maintain engagement
141,HCP0467,Dr. Neelima Butala,T011,Ahmedabad Gujarat,Tier 2,3484469.38,40,53.2,17,Low Engagement,Medium Risk,32.0,0.598,0.704,0.711,61.2,Monitor low engagement
142,HCP0424,Dr. Ijaya Pandey,T004,Nagpur Vidarbha,Tier 3,3973893.33,46,49.2,8,High Value,Medium Risk,28.5,0.69,0.459,0.404,61.0,Maintain engagement
143,HCP0163,Dr. Ridhi Bandi,T007,Bengaluru Urban,Tier 3,2359323.83,33,51.82,28,Growth Potential,Low Risk,46.8,0.352,0.869,0.628,61.0,Review growth opportunity
144,HCP0231,Dr. Girik Sampath,T003,Nashik North,Tier 2,3073613.86,58,50.0,13,High Value,Medium Risk,29.3,0.512,0.622,0.468,60.9,Maintain engagement
145,HCP0162,Dr. Ranveer Krishna,T006,Gurgaon Corporate,Tier 3,3310266.56,43,44.86,43,Growth Potential,High Risk,49.7,0.562,0.945,0.123,60.5,Schedule follow-up call
146,HCP0477,Dr. Harshil D’Alia,T009,Chennai Metro,Tier 3,2147473.9,49,52.41,31,Growth Potential,Low Risk,38.5,0.278,0.894,0.678,60.2,Review growth opportunity
147,HCP0333,Dr. Jagat Shroff,T009,Chennai Metro,Tier 3,1733784.03,41,55.73,27,Growth Potential,Low Risk,38.5,0.182,0.864,0.884,60.0,Review growth opportunity
