hcp_id,hcp_name,territory_id,territory_name,hcp_tier,total_net_sales,total_calls,avg_engagement_score,days_since_last_call,cluster_id,segment_label
HCP0042,Dr. Vansha Thakkar,T006,Gurgaon Corporate,Tier 1,2311318.43,37,44.46,0,0,Low Engagement
HCP0043,Dr. Quincy Biswas,T007,Bengaluru Urban,Tier 3,1018092.68,35,52.06,12,0,Low Engagement
HCP0044,Dr. Yatin Baral,T008,Hyderabad Central,Tier 2,3871246.18,34,58.44,2,0,Low Engagement
HCP0045,Dr. Advika Jayaraman,T009,Chennai Metro,Tier 3,3024949.29,35,54.06,84,2,Growth Potential
HCP0046,Dr. Karan Mital,T010,Kolkata East,Tier 2,3105584.55,42,52.62,8,0,Low Engagement
HCP0047,Dr. Tara Chaudhry,T011,Ahmedabad Gujarat,Tier 3,1086739.79,36,52.33,10,0,Low Engagement
HCP0048,Dr. Kevin Palla,T012,Jaipur Rajasthan,Tier 3,3707040.74,42,49.74,36,2,Growth Potential
HCP0049,Dr. Nakul Sarma,T001,Pune Central,Tier 2,3589183.4,37,58.89,3,0,Low Engagement
HCP0050,Dr. Hemang Desai,T002,Mumbai Metro,Tier 3,2244307.15,45,51.44,0,0,Low Engagement
HCP0051,Dr. Anita Manda,T003,Nashik North,Tier 3,2274976.65,71,49.83,11,1,High Value
HCP0052,Dr. Yashasvi Suresh,T004,Nagpur Vidarbha,Tier 1,5612496.94,48,49.73,0,1,High Value
HCP0053,Dr. Aradhana Basu,T005,Delhi NCR,Tier 3,3551118.1,35,49.91,5,0,Low Engagement
HCP0054,Dr. Neel Sathe,T006,Gurgaon Corporate,Tier 3,2103027.87,30,46.8,55,2,Growth Potential
HCP0055,Dr. Manthan Banik,T007,Bengaluru Urban,Tier 3,1832549.9,34,54.88,1,0,Low Engagement
HCP0056,Dr. Benjamin Morar,T008,Hyderabad Central,Tier 3,2176503.44,36,61.22,3,0,Low Engagement
HCP0057,Dr. Zaid Chauhan,T009,Chennai Metro,Tier 2,2873951.46,35,46.46,5,0,Low Engagement
HCP0058,Dr. Nicholas Goel,T010,Kolkata East,Tier 3,1319156.14,46,48.52,3,0,Low Engagement
HCP0059,Dr. Nisha Kothari,T011,Ahmedabad Gujarat,Tier 3,1860655.26,33,59.94,1,0,Low Engagement
HCP0060,Dr. Balvan Singhal,T012,Jaipur Rajasthan,Tier 3,2203888.58,38,46.11,19,0,Low Engagement
HCP0061,Dr. Dalaja Kari,T001,Pune Central,Tier 1,7339464.38,50,55.18,4,1,High Value
HCP0062,Dr. Mohini Narasimhan,T002,Mumbai Metro,Tier 1,8197105.57,50,46.9,9,1,High Value
HCP0063,Dr. Yashodhara Ratta,T003,Nashik North,Tier 3,2404762.43,64,57.28,5,1,High Value
HCP0064,Dr. Advika Gokhale,T004,Nagpur Vidarbha,Tier 1,6609637.29,47,57.47,19,1,High Value
HCP0065,Dr. Hemani Murthy,T005,Delhi NCR,Tier 3,1378730.28,35,53.2,19,0,Low Engagement
HCP0066,Dr. Ranveer Kumar,T006,Gurgaon Corporate,Tier 3,2131574.19,38,47.47,50,2,Growth Potential
HCP0067,Dr. Januja Sankar,T007,Bengaluru Urban,Tier 3,1999458.06,40,50.0,25,0,Low Engagement
HCP0068,Dr. Jeet Mital,T008,Hyderabad Central,Tier 1,2472548.06,44,45.18,4,0,Low Engagement
HCP0069,Dr. Chakrika Datta,T009,Chennai Metro,Tier 2,2231919.04,30,43.8,10,0,Low Engagement
HCP0070,Dr. Owen Mitra,T010,Kolkata East,Tier 1,7748665.48,28,48.0,2,0,Low Engagement
HCP0071,Dr. Shivansh Sani,T011,Ahmedabad Gujarat,Tier 3,2623543.97,42,48.43,3,0,Low Engagement
HCP0072,Dr. Tanay Vaidya,T012,Jaipur Rajasthan,Tier 2,2346398.25,37,45.81,2,0,Low Engagement
HCP0073,Dr. Yutika Nayak,T001,Pune Central,Tier 2,8070277.85,50,51.1,9,1,High Value
HCP0074,Dr. Umang Issac,T002,Mumbai Metro,Tier 3,4762325.88,45,47.98,4,1,High Value
HCP0075,Dr. Vaishnavi Bora,T003,Nashik North,Tier 3,7465628.59,52,44.12,27,1,High Value
HCP0076,Dr. Warda Ratta,T004,Nagpur Vidarbha,Tier 3,3550009.99,53,53.64,0,1,High Value
HCP0077,Dr. Hredhaan Sandal,T005,Delhi NCR,Tier 2,1667003.26,36,47.5,16,0,Low Engagement
HCP0078,Dr. Chandresh Krish,T006,Gurgaon Corporate,Tier 2,1604912.71,30,53.5,18,0,Low Engagement
HCP0079,Dr. Edhitha Savant,T007,Bengaluru Urban,Tier 2,1295264.0,25,44.8,3,0,Low Engagement
HCP0080,Dr. Vaishnavi Sengupta,T008,Hyderabad Central,Tier 3,1596788.21,39,40.92,13,0,Low Engagement
HCP0081,Dr. William Maharaj,T009,Chennai Metro,Tier 2,3421808.63,30,39.9,36,2,Growth Potential
HCP0082,Dr. Anita Nayak,T010,Kolkata East,Tier 2,7096344.44,48,48.15,15,1,High Value
HCP0083,Dr. Matthew Kashyap,T011,Ahmedabad Gujarat,Tier 2,1568666.97,33,51.45,4,0,Low Engagement
HCP0084,Dr. Oeshi Reddy,T012,Jaipur Rajasthan,Tier 3,1133787.06,38,48.08,26,0,Low Engagement
HCP0085,Dr. Samuel Salvi,T001,Pune Central,Tier 2,6416606.29,46,52.26,20,1,High Value
HCP0086,Dr. Abeer Pandey,T002,Mumbai Metro,Tier 3,1617361.29,53,53.36,13,1,High Value
HCP0087,Dr. Vinaya Kanda,T003,Nashik North,Tier 3,2956106.07,47,53.21,12,1,High Value
HCP0088,Dr. Lopa Nayar,T004,Nagpur Vidarbha,Tier 3,3819352.37,49,49.51,4,1,High Value
HCP0089,Dr. Avi Ramesh,T005,Delhi NCR,Tier 2,1650499.28,27,49.11,6,0,Low Engagement
HCP0090,Dr. Triya Gopal,T006,Gurgaon Corporate,Tier 3,2733932.47,38,57.39,19,0,Low Engagement
HCP0091,Dr. Siddharth Sha,T007,Bengaluru Urban,Tier 1,1726543.93,39,58.08,19,0,Low Engagement
HCP0092,Dr. Oviya Krishnan,T008,Hyderabad Central,Tier 2,1002352.15,31,47.58,0,0,Low Engagement
HCP0093,Dr. Inaya Kapur,T009,Chennai Metro,Tier 3,1462224.49,39,42.13,8,0,Low Engagement
HCP0094,Dr. Ryan Bahri,T010,Kolkata East,Tier 3,1715422.77,37,52.05,1,0,Low Engagement
HCP0095,Dr. Ishwar Kamdar,T011,Ahmedabad Gujarat,Tier 3,1279624.29,43,51.49,33,2,Growth Potential
HCP0096,Dr. Ishwar Gade,T012,Jaipur Rajasthan,Tier 1,7745491.72,32,46.09,6,1,High Value
HCP0097,Dr. Keya Ranganathan,T001,Pune Central,Tier 3,2468818.4,43,54.3,20,0,Low Engagement
HCP0098,Dr. Charvi Dara,T002,Mumbai Metro,Tier 1,5851885.78,47,48.49,62,2,Growth Potential
HCP0099,Dr. Kamala Biswas,T003,Nashik North,Tier 1,7586466.46,42,45.57,5,1,High Value
HCP0100,Dr. Hitesh Sant,T004,Nagpur Vidarbha,Tier 3,1267249.46,49,49.02,7,0,Low Engagement
HCP0101,Dr. Patrick Vig,T005,Delhi NCR,Tier 2,3619672.91,38,51.87,30,2,Growth Potential
HCP0102,Dr. Rajata Loyal,T006,Gurgaon Corporate,Tier 2,3697315.75,34,47.44,16,0,Low Engagement
HCP0103,Dr. Shravya Kohli,T007,Bengaluru Urban,Tier 1,1932693.26,27,57.22,15,0,Low Engagement
HCP0104,Dr. Warda Nair,T008,Hyderabad Central,Tier 2,4044406.44,38,51.24,5,0,Low Engagement
HCP0105,Dr. Aarna Oak,T009,Chennai Metro,Tier 3,1775398.82,45,46.71,6,0,Low Engagement
HCP0106,Dr. Frederick Khurana,T010,Kolkata East,Tier 1,6466303.92,41,53.63,5,1,High Value
HCP0107,Dr. Vritti Sem,T011,Ahmedabad Gujarat,Tier 3,4019766.81,39,43.62,13,0,Low Engagement
HCP0108,Dr. Nidhi Kohli,T012,Jaipur Rajasthan,Tier 3,3598222.7,33,49.55,13,0,Low Engagement
HCP0109,Dr. Pavani Narayanan,T001,Pune Central,Tier 3,3852777.4,43,51.19,20,1,High Value
HCP0110,Dr. Zayan Kashyap,T002,Mumbai Metro,Tier 1,5511709.26,46,50.63,25,1,High Value
HCP0111,Dr. Qasim Handa,T003,Nashik North,Tier 2,2871945.89,54,54.65,50,2,Growth Potential
HCP0112,Dr. Harish Hari,T004,Nagpur Vidarbha,Tier 3,3261239.86,46,49.02,4,1,High Value
HCP0113,Dr. Chasmum Atwal,T005,Delhi NCR,Tier 3,1876015.88,43,47.56,11,0,Low Engagement
HCP0114,Dr. Chatura Master,T006,Gurgaon Corporate,Tier 3,3902068.32,37,49.27,3,0,Low Engagement
HCP0115,Dr. Bhavani Singh,T007,Bengaluru Urban,Tier 2,5654967.95,40,50.58,10,1,High Value
HCP0116,Dr. Charan Krishnan,T008,Hyderabad Central,Tier 1,5528161.76,29,55.55,31,2,Growth Potential
HCP0117,Dr. Vyanjana Borah,T009,Chennai Metro,Tier 1,5011938.82,35,50.34,18,0,Low Engagement
HCP0118,Dr. Frederick Kothari,T010,Kolkata East,Tier 2,3871944.8,41,56.85,7,0,Low Engagement
HCP0119,Dr. Lajita Seshadri,T011,Ahmedabad Gujarat,Tier 3,2179361.57,42,56.07,2,0,Low Engagement
HCP0120,Dr. Darpan Chaudhary,T012,Jaipur Rajasthan,Tier 1,3026516.78,39,45.28,14,0,Low Engagement
HCP0121,Dr. Naksh Khatri,T001,Pune Central,Tier 3,3671078.36,51,50.06,3,1,High Value
HCP0122,Dr. Nilima Seshadri,T002,Mumbai Metro,Tier 2,5484270.85,52,47.46,11,1,High Value
HCP0123,Dr. Bhavya Mandal,T003,Nashik North,Tier 3,5398825.82,49,45.73,11,1,High Value
HCP0124,Dr. Rudra Sandal,T004,Nagpur Vidarbha,Tier 1,6754523.77,57,47.88,5,1,High Value
HCP0125,Dr. Amaira Dhar,T005,Delhi NCR,Tier 3,2104075.72,36,51.58,9,0,Low Engagement
HCP0126,Dr. Bhavya Sarna,T006,Gurgaon Corporate,Tier 3,2203167.79,34,51.38,4,0,Low Engagement
HCP0127,Dr. Neha Magar,T007,Bengaluru Urban,Tier 3,2213130.94,43,43.84,13,0,Low Engagement
HCP0128,Dr. Balveer Sankaran,T008,Hyderabad Central,Tier 3,1485515.39,49,54.47,4,0,Low Engagement
HCP0129,Dr. Veer Bail,T009,Chennai Metro,Tier 3,1227346.02,36,50.03,12,0,Low Engagement
HCP0130,Dr. Zilmil Sathe,T010,Kolkata East,Tier 3,1642808.78,36,46.47,5,0,Low Engagement
HCP0131,Dr. Gavin Singhal,T011,Ahmedabad Gujarat,Tier 3,916369.41,48,50.5,6,0,Low Engagement
HCP0132,Dr. Henry Dyal,T012,Jaipur Rajasthan,Tier 1,3455101.7,37,47.92,35,2,Growth Potential
HCP0133,Dr. Nandini Bansal,T001,Pune Central,Tier 2,3186603.0,46,49.11,5,1,High Value
HCP0134,Dr. Ekiya D’Alia,T002,Mumbai Metro,Tier 3,3654360.32,42,54.21,10,0,Low Engagement
HCP0135,Dr. Odika Bhagat,T003,Nashik North,Tier 3,2841780.55,46,46.02,5,1,High Value
HCP0136,Dr. Riya Behl,T004,Nagpur Vidarbha,Tier 3,1965684.97,50,42.0,25,1,High Value
HCP0137,Dr. Bhavna Sarma,T005,Delhi NCR,Tier 2,1536114.96,24,44.08,11,0,Low Engagement
HCP0138,Dr. Nathan Mukhopadhyay,T006,Gurgaon Corporate,Tier 2,3775944.19,28,50.89,5,0,Low Engagement
HCP0139,Dr. Ishaan Shenoy,T007,Bengaluru Urban,Tier 3,2947330.47,28,50.07,13,0,Low Engagement
HCP0140,Dr. Yashodhara Mahajan,T008,Hyderabad Central,Tier 3,2607291.48,35,44.77,21,0,Low Engagement
HCP0141,Dr. Tanmayi Dhillon,T009,Chennai Metro,Tier 2,2414396.55,35,54.09,13,0,Low Engagement
HCP0142,Dr. Ekaraj Majumdar,T010,Kolkata East,Tier 3,4198286.97,31,55.19,4,0,Low Engagement
HCP0143,Dr. Aarnav Mandal,T011,Ahmedabad Gujarat,Tier 3,4037107.9,39,52.54,10,0,Low Engagement
HCP0144,Dr. Veda Pai,T012,Jaipur Rajasthan,Tier 3,2053091.42,37,44.43,5,0,Low Engagement
HCP0145,Dr. Ranbir Khare,T001,Pune Central,Tier 3,4878728.85,57,48.63,7,1,High Value
HCP0146,Dr. Eesha Solanki,T002,Mumbai Metro,Tier 3,2582538.79,43,51.56,5,0,Low Engagement
HCP0147,Dr. Balhaar Date,T003,Nashik North,Tier 3,1859826.65,38,54.87,9,0,Low Engagement
HCP0148,Dr. Tanmayi Aurora,T004,Nagpur Vidarbha,Tier 2,5220090.18,42,49.74,5,1,High Value
HCP0149,Dr. Upasna Lanka,T005,Delhi NCR,Tier 3,3354472.31,35,40.77,13,0,Low Engagement
HCP0150,Dr. Lajita Nadig,T006,Gurgaon Corporate,Tier 3,2468420.59,44,50.14,8,0,Low Engagement
HCP0151,Dr. Bhavna Karan,T007,Bengaluru Urban,Tier 1,3781841.73,36,44.69,24,0,Low Engagement
HCP0152,Dr. Sachi Ganesan,T008,Hyderabad Central,Tier 3,2844633.64,38,49.13,8,0,Low Engagement
HCP0153,Dr. Daksh Memon,T009,Chennai Metro,Tier 1,2749761.95,43,49.07,8,0,Low Engagement
HCP0154,Dr. Yash Wali,T010,Kolkata East,Tier 3,3616612.2,34,45.24,0,0,Low Engagement
HCP0155,Dr. Farhan Raja,T011,Ahmedabad Gujarat,Tier 1,2441848.92,33,48.42,17,0,Low Engagement
HCP0156,Dr. Triya Kumar,T012,Jaipur Rajasthan,Tier 3,1672374.57,42,47.17,10,0,Low Engagement
HCP0157,Dr. Bhavna Dugar,T001,Pune Central,Tier 1,5975855.94,51,41.82,10,1,High Value
HCP0158,Dr. Panini Krishna,T002,Mumbai Metro,Tier 1,3353758.24,51,50.71,10,1,High Value
HCP0159,Dr. Vasudha Chhabra,T003,Nashik North,Tier 1,5714770.95,37,50.22,5,1,High Value
HCP0160,Dr. Chakrika Merchant,T004,Nagpur Vidarbha,Tier 1,4703560.28,51,49.24,6,1,High Value
HCP0161,Dr. Chandran Taneja,T005,Delhi NCR,Tier 3,1200831.92,30,41.93,45,2,Growth Potential
HCP0162,Dr. Ranveer Krishna,T006,Gurgaon Corporate,Tier 3,3310266.56,43,44.86,43,2,Growth Potential
HCP0163,Dr. Ridhi Bandi,T007,Bengaluru Urban,Tier 3,2359323.83,33,51.82,28,2,Growth Potential
HCP0164,Dr. Eta Sagar,T008,Hyderabad Central,Tier 2,7152628.57,39,62.64,26,1,High Value
HCP0165,Dr. Yachana Mahajan,T009,Chennai Metro,Tier 3,1305330.42,40,53.0,31,2,Growth Potential
HCP0166,Dr. Hamsini Contractor,T010,Kolkata East,Tier 3,1806443.76,46,51.61,13,0,Low Engagement
HCP0167,Dr. Mekhala Pau,T011,Ahmedabad Gujarat,Tier 3,1908207.22,34,43.32,52,2,Growth Potential
HCP0168,Dr. Jatin Sha,T012,Jaipur Rajasthan,Tier 2,2645179.33,42,54.02,2,0,Low Engagement
HCP0169,Dr. Hritik Kaur,T001,Pune Central,Tier 3,1770570.25,49,44.86,10,1,High Value
HCP0170,Dr. Dev Shetty,T002,Mumbai Metro,Tier 1,9848516.54,47,51.32,22,1,High Value
HCP0171,Dr. Chakradev Barad,T003,Nashik North,Tier 3,1733186.5,49,49.22,35,2,Growth Potential
HCP0172,Dr. Wahab Yogi,T004,Nagpur Vidarbha,Tier 3,3350675.2,34,50.41,46,2,Growth Potential
HCP0173,Dr. Oni Dubey,T005,Delhi NCR,Tier 2,3503658.49,39,51.41,9,0,Low Engagement
HCP0174,Dr. Ati Bali,T006,Gurgaon Corporate,Tier 2,6331018.65,34,46.5,17,0,Low Engagement
HCP0175,Dr. Warinder Patil,T007,Bengaluru Urban,Tier 3,958328.19,35,50.0,1,0,Low Engagement
HCP0176,Dr. Darsh Rao,T008,Hyderabad Central,Tier 3,1486641.22,30,42.53,3,0,Low Engagement
HCP0177,Dr. Gavin Kala,T009,Chennai Metro,Tier 1,3511821.89,30,60.4,10,0,Low Engagement
HCP0178,Dr. Jeremiah Jha,T010,Kolkata East,Tier 2,1928637.72,31,51.16,2,0,Low Engagement
HCP0179,Dr. Viraj Narasimhan,T011,Ahmedabad Gujarat,Tier 2,3863957.95,29,52.24,8,0,Low Engagement
HCP0180,Dr. Kalpit Zachariah,T012,Jaipur Rajasthan,Tier 2,2535324.52,34,54.82,7,0,Low Engagement
HCP0181,Dr. Karan Aurora,T001,Pune Central,Tier 2,4853647.2,57,49.12,0,1,High Value
HCP0182,Dr. Owen Lanka,T002,Mumbai Metro,Tier 3,3931356.0,47,50.09,29,1,High Value
HCP0183,Dr. Ishaan Bhatt,T003,Nashik North,Tier 3,4352313.99,46,49.11,3,1,High Value
HCP0184,Dr. Siya Thakur,T004,Nagpur Vidarbha,Tier 3,2443021.11,46,51.07,5,0,Low Engagement
HCP0185,Dr. Tara Balasubramanian,T005,Delhi NCR,Tier 2,4881978.49,44,44.48,13,1,High Value
HCP0186,Dr. Hritik Swaminathan,T006,Gurgaon Corporate,Tier 1,1962838.69,30,51.87,39,2,Growth Potential
HCP0187,Dr. Manbir Bhatti,T007,Bengaluru Urban,Tier 3,831238.47,44,53.52,23,0,Low Engagement
HCP0188,Dr. Lakshmi Wali,T008,Hyderabad Central,Tier 3,2357478.82,39,53.64,0,0,Low Engagement
HCP0189,Dr. Hardik Contractor,T009,Chennai Metro,Tier 3,2074528.94,42,47.36,2,0,Low Engagement
HCP0190,Dr. Odika Nori,T010,Kolkata East,Tier 3,3049791.8,33,49.76,5,0,Low Engagement
HCP0191,Dr. Dhriti Sane,T011,Ahmedabad Gujarat,Tier 2,4125681.92,37,48.81,2,0,Low Engagement
HCP0192,Dr. Urvi Bhavsar,T012,Jaipur Rajasthan,Tier 1,3849035.14,39,51.69,37,2,Growth Potential
HCP0193,Dr. Gopal Pradhan,T001,Pune Central,Tier 3,3993873.92,45,44.4,2,1,High Value
HCP0194,Dr. Jason Roy,T002,Mumbai Metro,Tier 1,5753306.14,52,54.1,5,1,High Value
HCP0195,Dr. Devika Pandey,T003,Nashik North,Tier 2,2416564.84,49,48.47,18,1,High Value
HCP0196,Dr. Vasatika Kapur,T004,Nagpur Vidarbha,Tier 3,1799364.44,59,51.41,2,1,High Value
HCP0197,Dr. Ishwar Mallick,T005,Delhi NCR,Tier 2,2187754.54,40,48.02,10,0,Low Engagement
HCP0198,Dr. Ayush Gole,T006,Gurgaon Corporate,Tier 2,4873617.19,34,50.38,18,0,Low Engagement
HCP0199,Dr. Abeer Golla,T007,Bengaluru Urban,Tier 1,5518419.5,39,52.74,30,2,Growth Potential
HCP0200,Dr. Azaan Chand,T008,Hyderabad Central,Tier 3,2897822.63,31,44.97,7,0,Low Engagement
HCP0201,Dr. Sudiksha Om,T009,Chennai Metro,Tier 2,1400495.46,34,44.47,23,0,Low Engagement
HCP0202,Dr. Frado Ben,T010,Kolkata East,Tier 2,2565213.98,36,47.89,1,0,Low Engagement
HCP0203,Dr. Finn Magar,T011,Ahmedabad Gujarat,Tier 2,4957242.0,41,54.61,8,1,High Value
HCP0204,Dr. Oeshi Mahajan,T012,Jaipur Rajasthan,Tier 3,1391889.49,34,60.56,30,2,Growth Potential
HCP0205,Dr. Qushi Choudhry,T001,Pune Central,Tier 1,6820741.14,54,60.22,2,1,High Value
HCP0206,Dr. Chakradev Kannan,T002,Mumbai Metro,Tier 3,1652688.99,60,48.05,0,1,High Value
HCP0207,Dr. Charvi Kakar,T003,Nashik North,Tier 3,2102959.49,41,48.68,46,2,Growth Potential
HCP0208,Dr. Jagdish Amble,T004,Nagpur Vidarbha,Tier 1,7425165.07,50,46.06,5,1,High Value
HCP0209,Dr. Lajita Walia,T005,Delhi NCR,Tier 1,4937044.74,38,49.39,22,0,Low Engagement
HCP0210,Dr. Mekhala Basak,T006,Gurgaon Corporate,Tier 3,2908550.56,29,51.45,53,2,Growth Potential
HCP0211,Dr. Dhriti Sanghvi,T007,Bengaluru Urban,Tier 2,2554946.38,37,58.27,8,0,Low Engagement
HCP0212,Dr. Nidhi Bail,T008,Hyderabad Central,Tier 2,2354735.96,33,62.64,31,2,Growth Potential
HCP0213,Dr. Gaurang Sarkar,T009,Chennai Metro,Tier 2,5120201.75,48,49.85,23,1,High Value
HCP0214,Dr. Farhan Randhawa,T010,Kolkata East,Tier 3,4331169.03,45,58.42,2,1,High Value
HCP0215,Dr. Om Bose,T011,Ahmedabad Gujarat,Tier 2,3710653.87,38,50.68,6,0,Low Engagement
HCP0216,Dr. Ikshita Panchal,T012,Jaipur Rajasthan,Tier 3,4377942.58,35,48.63,9,0,Low Engagement
HCP0217,Dr. Aahana Hora,T001,Pune Central,Tier 3,951486.87,46,48.07,6,0,Low Engagement
HCP0218,Dr. Peter Tak,T002,Mumbai Metro,Tier 3,2389140.65,47,47.13,6,1,High Value
HCP0219,Dr. Matthew Sarraf,T003,Nashik North,Tier 1,3528534.82,43,49.47,23,0,Low Engagement
HCP0220,Dr. Anvi Bhalla,T004,Nagpur Vidarbha,Tier 1,6206516.31,44,52.98,3,1,High Value
HCP0221,Dr. Triya Seth,T005,Delhi NCR,Tier 1,10663766.76,43,43.05,2,1,High Value
HCP0222,Dr. Faraj Chana,T006,Gurgaon Corporate,Tier 3,3507018.67,29,55.24,62,2,Growth Potential
HCP0223,Dr. Shivani Guha,T007,Bengaluru Urban,Tier 2,4140157.8,41,44.9,10,0,Low Engagement
HCP0224,Dr. David Seshadri,T008,Hyderabad Central,Tier 1,3650841.81,29,46.17,2,0,Low Engagement
HCP0225,Dr. Yamini Gera,T009,Chennai Metro,Tier 2,4237543.81,35,61.23,4,0,Low Engagement
HCP0226,Dr. Reva Viswanathan,T010,Kolkata East,Tier 2,2792664.57,30,52.23,24,0,Low Engagement
HCP0227,Dr. Lila Rege,T011,Ahmedabad Gujarat,Tier 1,5054861.23,31,58.48,12,0,Low Engagement
HCP0228,Dr. Forum Chandra,T012,Jaipur Rajasthan,Tier 1,7743005.09,35,52.4,0,1,High Value
HCP0229,Dr. Gauri Bumb,T001,Pune Central,Tier 3,2042650.7,43,52.77,0,0,Low Engagement
HCP0230,Dr. Kai Chad,T002,Mumbai Metro,Tier 3,2746298.06,53,45.98,20,1,High Value
HCP0231,Dr. Girik Sampath,T003,Nashik North,Tier 2,3073613.86,58,50.0,13,1,High Value
HCP0232,Dr. Pranit Kala,T004,Nagpur Vidarbha,Tier 2,2577518.75,53,49.68,4,1,High Value
HCP0233,Dr. Laksh Dubey,T005,Delhi NCR,Tier 3,2634524.27,30,47.77,30,2,Growth Potential
